TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/11/02
TIME	13:17:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2700
LASTX	200
NPOINTS	2501
FIRSTY	68.2973
MAXY	72.9873
MINY	-0.677276
XYDATA
2700	68.2973
2699	43.8052
2698	72.9873
2697	55.8687
2696	38.2258
2695	63.1088
2694	37.8889
2693	41.4849
2692	67.3951
2691	56.6551
2690	47.7868
2689	51.2262
2688	52.3699
2687	51.353
2686	55.9197
2685	50.2308
2684	57.2218
2683	51.4599
2682	54.9072
2681	53.7161
2680	53.9853
2679	53.2331
2678	56.8155
2677	50.2726
2676	53.367
2675	53.8331
2674	53.2864
2673	52.9473
2672	52.3271
2671	55.7976
2670	52.9867
2669	53.5124
2668	56.7509
2667	54.8783
2666	54.339
2665	57.2214
2664	51
2663	53.589
2662	50.9418
2661	51.7087
2660	53.8603
2659	51.4965
2658	52.7212
2657	53.414
2656	52.7552
2655	55.9127
2654	52.6794
2653	53.5224
2652	53.5977
2651	53.0523
2650	52.7847
2649	53.3521
2648	52.9168
2647	53.4387
2646	51.2509
2645	51.6868
2644	54.7128
2643	51.3176
2642	53.6816
2641	53.6397
2640	51.9083
2639	53.6723
2638	51.2809
2637	52.8558
2636	54.5215
2635	51.9186
2634	52.228
2633	52.2106
2632	51.8677
2631	54.9288
2630	49.9054
2629	52.6402
2628	53.1462
2627	49.7477
2626	53.1151
2625	52.116
2624	53.0065
2623	53.4128
2622	51.3052
2621	54.2532
2620	55.9465
2619	50.9199
2618	54.9821
2617	51.0816
2616	52.6433
2615	54.9195
2614	50.1333
2613	51.829
2612	54.2826
2611	53.007
2610	53.8691
2609	53.8622
2608	52.4402
2607	52.725
2606	52.2988
2605	51.6911
2604	53.2607
2603	51.9172
2602	55.2584
2601	54.0899
2600	51.8724
2599	54.9086
2598	52.0466
2597	53.973
2596	53.8551
2595	51.0813
2594	54.4214
2593	52.3452
2592	51.2747
2591	53.3066
2590	51.5059
2589	52.1091
2588	52.1225
2587	52.3184
2586	54.6786
2585	53.4651
2584	52.0954
2583	53.6803
2582	49.4813
2581	53.254
2580	53.1372
2579	52.5805
2578	54.967
2577	51.6712
2576	53.1489
2575	53.2148
2574	52.3722
2573	53.8077
2572	55.119
2571	53.2907
2570	54.1371
2569	51.9472
2568	53.4651
2567	53.1038
2566	52.3125
2565	54.6823
2564	52.6785
2563	51.7613
2562	54.4472
2561	50.4324
2560	52.4809
2559	54.0759
2558	52.291
2557	53.2881
2556	52.5398
2555	52.3511
2554	54.0797
2553	53.0436
2552	52.9486
2551	54.6543
2550	52.3596
2549	53.5071
2548	52.7641
2547	53.0061
2546	54.2282
2545	52.8998
2544	52.2483
2543	52.9622
2542	50.9867
2541	52.3434
2540	53.055
2539	51.9158
2538	52.8176
2537	52.5644
2536	52.6264
2535	52.5301
2534	52.0028
2533	54.1389
2532	51.7654
2531	52.5838
2530	53.1723
2529	53.282
2528	53.1579
2527	53.212
2526	52.4768
2525	53.6987
2524	52.7221
2523	52.5133
2522	52.7125
2521	52.0783
2520	53.3883
2519	52.4584
2518	52.4373
2517	52.9576
2516	52.9532
2515	51.616
2514	53.1152
2513	52.0469
2512	52.5565
2511	53.8042
2510	51.7702
2509	52.4998
2508	52.3428
2507	52.6877
2506	53.166
2505	52.7421
2504	52.7424
2503	52.2051
2502	52.4945
2501	53.0949
2500	52.3456
2499	52.1004
2498	53.385
2497	52.8064
2496	53.3666
2495	53.0067
2494	52.5823
2493	52.8206
2492	52.2114
2491	52.3348
2490	53.4061
2489	52.8423
2488	52.245
2487	52.6707
2486	52.7727
2485	52.7581
2484	52.3392
2483	52.3374
2482	53.1528
2481	52.0682
2480	53.3168
2479	53.2022
2478	52.6107
2477	52.7034
2476	52.4939
2475	52.5117
2474	53.0155
2473	53.2255
2472	52.9253
2471	52.8916
2470	52.7949
2469	52.9986
2468	51.8391
2467	51.9377
2466	52.9557
2465	52.5158
2464	52.9622
2463	52.5532
