TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/04/14
TIME	11:51:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2700
LASTX	900
NPOINTS	1801
FIRSTY	76.186
MAXY	77.1076
MINY	63.4324
XYDATA
2700	76.186
2699	75.6844
2698	75.1915
2697	75.2442
2696	75.1719
2695	74.8587
2694	74.8783
2693	74.5001
2692	75.0221
2691	74.7744
2690	74.5409
2689	74.5064
2688	74.606
2687	74.4432
2686	74.5118
2685	74.4998
2684	74.5447
2683	74.4879
2682	74.4806
2681	74.4782
2680	74.391
2679	74.3091
2678	74.3571
2677	74.4438
2676	74.4213
2675	74.4576
2674	74.4126
2673	74.4459
2672	74.3144
2671	74.2549
2670	74.4084
2669	74.3771
2668	74.3279
2667	74.3801
2666	74.4037
2665	74.331
2664	74.2468
2663	74.1961
2662	74.174
2661	74.2101
2660	74.3172
2659	74.259
2658	74.3338
2657	74.3462
2656	74.4009
2655	74.3508
2654	74.3635
2653	74.3394
2652	74.3116
2651	74.3827
2650	74.3513
2649	74.3202
2648	74.3627
2647	74.3929
2646	74.4652
2645	74.4467
2644	74.4637
2643	74.4092
2642	74.4202
2641	74.3509
2640	74.3758
2639	74.3859
2638	74.4865
2637	74.5312
2636	74.5209
2635	74.5643
2634	74.5762
2633	74.5349
2632	74.4938
2631	74.5215
2630	74.5485
2629	74.4642
2628	74.466
2627	74.4581
2626	74.4632
2625	74.3866
2624	74.3845
2623	74.52
2622	74.7177
2621	74.6566
2620	74.6094
2619	74.6705
2618	74.6098
2617	74.5107
2616	74.493
2615	74.5
2614	74.4899
2613	74.5449
2612	74.5734
2611	74.6461
2610	74.6449
2609	74.6532
2608	74.6762
2607	74.6926
2606	74.6319
2605	74.6258
2604	74.618
2603	74.5939
2602	74.5212
2601	74.5513
2600	74.61
2599	74.6582
2598	74.7358
2597	74.7238
2596	74.7747
2595	74.6829
2594	74.6561
2593	74.5815
2592	74.6051
2591	74.6557
2590	74.6782
2589	74.69
2588	74.7207
2587	74.6873
2586	74.6557
2585	74.6743
2584	74.7238
2583	74.7277
2582	74.7026
2581	74.6356
2580	74.6608
2579	74.6282
2578	74.7028
2577	74.7836
2576	74.7641
2575	74.7637
2574	74.772
2573	74.749
2572	74.6677
2571	74.718
2570	74.6921
2569	74.7471
2568	74.7833
2567	74.7878
2566	74.8492
2565	74.8227
2564	74.7868
2563	74.7522
2562	74.7514
2561	74.7035
2560	74.738
2559	74.7347
2558	74.7207
2557	74.7766
2556	74.7793
2555	74.8008
2554	74.7958
2553	74.8491
2552	74.8774
2551	74.821
2550	74.8446
2549	74.834
2548	74.8519
2547	74.7854
2546	74.792
2545	74.8647
2544	74.8496
2543	74.8534
2542	74.8763
2541	74.7978
2540	74.8409
2539	74.7959
2538	74.8527
2537	74.8811
2536	74.9168
2535	74.9217
2534	74.9042
2533	74.8842
2532	74.8772
2531	74.868
2530	74.8487
2529	74.898
2528	74.9186
2527	74.9141
2526	74.926
2525	74.9154
2524	74.9016
2523	74.9081
2522	74.9188
2521	74.8981
2520	74.9487
2519	74.9648
2518	74.9515
2517	74.935
2516	74.9298
2515	74.9461
2514	74.9307
2513	74.9471
2512	74.9633
2511	74.968
2510	74.9845
2509	74.9744
2508	74.9885
2507	74.9537
2506	74.9608
2505	74.9245
2504	74.965
2503	74.9732
2502	75.0039
2501	74.9669
2500	74.9736
2499	74.9567
2498	74.9433
2497	74.9573
2496	74.9962
2495	75.0031
2494	75.0093
2493	74.9963
2492	74.996
2491	74.9899
2490	74.9773
2489	74.9777
2488	75.0074
2487	75.0134
2486	75.0319
2485	75.01
2484	75.038
2483	74.9971
2482	75.0137
2481	74.9996
2480	75.004
2479	75.0147
2478	75.0466
2477	75.0511
2476	75.0434
2475	75.0432
2474	75.019
2473	75.0139
2472	75.0117
2471	75.0368
2470	75.0435
2469	75.0428
2468	75.0276
2467	75.0353
2466	75.0143
2465	75.0212
2464	75.0526
2463	75.0363
2462	75.0497
