TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/08/01
TIME	12:20:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2300
LASTX	700
NPOINTS	1601
FIRSTY	0.610248
MAXY	1.41888
MINY	-0.637621
XYDATA
2065	0.892981
2064	0.583631
2063	0.933344
2062	0.937877
2061	1.0607
2060	0.693566
2059	0.617707
2058	0.574931
2057	0.568617
2056	0.869039
2055	0.870878
2054	0.512332
2053	0.744358
2052	1.08913
2051	1.0103
2050	0.721485
2049	0.935218
2048	0.505845
2047	1.24114
2046	0.449373
2045	0.611054
2044	0.83061
2043	0.527791
2042	0.967701
2041	0.947349
2040	0.59138
2039	0.772764
2038	0.954837
2037	0.837074
2036	0.313335
2035	0.535822
2034	0.708622
2033	1.09933
2032	0.924072
2031	0.901008
2030	0.577362
2029	0.702525
2028	0.547028
2027	0.617097
2026	1.04334
2025	0.853441
2024	0.746859
2023	1.00714
2022	0.69577
2021	0.937046
2020	0.808057
2019	0.996764
2018	0.785982
2017	0.829822
2016	1.0314
2015	0.908775
2014	0.83948
2013	0.806647
2012	0.613316
2011	0.998789
2010	0.555065
2009	0.970003
2008	0.951544
2007	0.839021
2006	0.959555
2005	0.63736
2004	0.764316
2003	0.645997
2002	0.723725
2001	0.555456
2000	0.9215
1999	0.894488
1998	0.856401
1997	0.698531
1996	0.70835
1995	0.816768
1994	0.679757
1993	0.892785
1992	0.781276
1991	0.909764
1990	0.823067
1989	0.792047
1988	0.849559
1987	0.823196
1986	0.505646
1985	0.828938
1984	0.838021
1983	0.768172
1982	0.808459
1981	1.23077
1980	0.617401
1979	0.785309
1978	0.873565
1977	0.867159
1976	0.79017
1975	0.747179
1974	1.03696
1973	0.959418
1972	0.898886
1971	0.58586
1970	0.989896
1969	0.573767
1968	0.954891
1967	0.879139
1966	0.626435
1965	0.658024
1964	0.656928
1963	1.05019
1962	1.0068
1961	0.999113
1960	0.852219
1959	0.81645
1958	0.952801
1957	0.918426
1956	0.941926
1955	0.96206
1954	0.914029
1953	0.85554
1952	0.862525
1951	0.961506
1950	0.783188
1949	1.03335
1948	0.786491
1947	1.08331
1946	0.743603
1945	0.935449
1944	1.11075
1943	0.798165
1942	0.976362
1941	0.742697
1940	0.887943
1939	0.787986
1938	0.587303
1937	0.823492
1936	0.91839
1935	1.27072
1934	0.854312
1933	0.904129
1932	1.18045
1931	0.788184
1930	0.848439
1929	0.895043
1928	0.6702
1927	0.73041
1926	0.941722
1925	0.673473
1924	1.0426
